id,question_ru,original_answer,model_answer
high_school_macroeconomics/test/67,"Если предложение денег увеличивается, что происходит на денежном рынке (предполагая, что спрос на деньги имеет нисходящий характер)?",B,A
machine_learning/test/57,"Заявление 1 | Регуляризация L2 линейных моделей имеет тенденцию делать модели более разреженными, чем регуляризация L1. Заявление 2 | Остаточные соединения можно найти в ResNets и Transformers.",D,A
sociology/test/37,Термин «вторичное отклонение» относится к:,D,C
moral_scenarios/test/850,"В каком из этих двух сценариев главный герой (который использует я/меня/мой) делает что-то явно морально неправильное, согласно обычным моральным нормам в США по состоянию на 2020 год? Сценарий 1 | Я пытался подсыпать в лимонад фентанил. Сценарий 2 | Когда мой сын сказал мне, что он гей, я отверг его.",A,A
philosophy/test/18,Каково было мнение Кларенса Дэрроу о смысле жизни?,A,C
high_school_european_history/test/38,"Этот вопрос относится к следующей информации.
Прочитайте следующий отрывок.
Никогда таланты высочайшего гения самого возвышенного рода не были столь щедро дарованы человеку. Гений Наполеона поразителен. Все отрасли человеческого знания казались одинаково знакомыми его гигантскому уму. Его беседы на острове Святой Елены, разбросанные по многочисленным и объемным мемориалам тех, кто их собирал, полны глубочайшего интереса. Во время долгой агонии своего заключения и своей смерти он беседовал с полной свободой о событиях своей чудесной карьеры и обо всех тех предметах или морали, политике и религии, которые наиболее глубоко касаются благополучия нашей расы. Нет ума, который не был бы воодушевлен знакомством с этими глубокими мыслями, выраженными с таким жаром чувств и энергией дикции. —Джон С. К. Эббот, историк, Наполеон на острове Святой Елены, 1855 г. Какая из следующих особенностей Французской империи при Наполеоне произвела на Эббота наибольшее впечатление?",B,B
college_medicine/test/146,Запасы АТФ в мышцах могут поставлять энергию только при высокоинтенсивных упражнениях примерно на:,B,A
professional_psychology/test/151,"Социальное влияние происходит, когда на отношение, мысли, чувства или поведение человека влияет убеждающее воздействие других. Существует множество ответов. Какой тип социального влияния представляет собой эффект Милгрэма?",B,B
moral_scenarios/test/588,"В каком из этих двух сценариев главный герой (который использует я/меня/мой) делает что-то явно морально неправильное, согласно обычным моральным нормам в США по состоянию на 2020 год? Сценарий 1 | Узнав, что ее сына схватили, я заверил ее, что не стоит беспокоиться, потому что власти уже в пути и решат этот вопрос. Сценарий 2 | Я добавил острый соус в ужин своего друга.",D,B
college_computer_science/test/87,"Программа, проверяющая орфографию, работает следующим образом. Определена хэш-таблица, в которой каждая запись является булевой переменной, инициализированной значением false. К каждому слову в словаре применена хэш-функция, а соответствующая запись в хэш-таблице установлена в значение true. Для проверки орфографии в документе хэш-функция применяется к каждому слову в документе, а соответствующая запись в хэш-таблице проверяется. Какое из следующих утверждений является правильным?
I. true означает, что слово было в словаре.
II. false означает, что слова не было в словаре.
III. Размер хэш-таблицы должен увеличиваться с размером документа.",B,A
conceptual_physics/test/19,Поляризация — это свойство,A,C
high_school_us_history/test/48,"Этот вопрос относится к следующей информации.
""Половина людей этой страны сегодня совершенно бессильна вычеркнуть из сводов законов несправедливый закон или написать там новый и справедливый. Женщины, недовольные этой формой правления, которая взимает налоги без представительства, — которая заставляет их подчиняться законам, на которые они никогда не давали своего согласия, — которая сажает в тюрьму и вешает их без суда присяжных из их равных, которая лишает их, в браке, опеки над собственной личностью, заработной платой и детьми, — эта половина людей полностью отдана на милость другой половины, что является прямым нарушением духа и буквы деклараций создателей этого правительства, каждая из которых была основана на непреложном принципе равных прав для всех"".
— Сьюзен Б. Энтони, «Я стою перед вами под обвинением» (речь), 1873 г. Что из перечисленного НЕ было призвано предоставить правительству полномочия регулировать растущее богатство и власть промышленников в конце девятнадцатого и начале двадцатого веков?",D,A
prehistory/test/202,"По мнению Рэндалла Уайта, о чем говорят предметы личного украшения эпохи верхнего палеолита?",C,C
public_relations/test/8,На каком этапе процесса планирования определяются цели?,B,B
professional_law/test/208,"Федеральный закон распространяет федеральные требования к минимальной заработной плате на все химчистки. Закон содержит четкие выводы о том, что в совокупности заработная плата, получаемая работниками химчистки, оказывает существенное влияние на национальную экономику и на поток товаров и услуг в межгосударственной торговле. Эти выводы подтверждаются информацией, представленной Конгрессу во время слушаний комитета по законодательству. Небольшая химчистка работает исключительно в пределах общины в центре географически большого штата. У нее нет клиентов из-за пределов штата. В ней работают три работника, каждый из которых получает меньше федеральной минимальной заработной платы. Должна ли эта химчистка соблюдать закон, устанавливающий федеральные требования к минимальной заработной плате для всех химчисток?",D,C
world_religions/test/60,Какой богине поклоняются во время праздника Дивали?,B,B
high_school_macroeconomics/test/201,Что из перечисленного является предсказуемым преимуществом экспансионистской денежно-кредитной политики в условиях рецессии?,B,B
global_facts/test/64,"Рассмотрим следующие утверждения: (1) В каждой стране люди думают, что другие люди в их стране менее счастливы, чем они есть на самом деле. (2) В Соединенных Штатах счастье женщин возросло как абсолютно, так и относительно мужчин. Какое из этих утверждений является истинным/ложным?",B,A
professional_psychology/test/575,Одним из ключевых признаков для проведения дифференциальной диагностики нервной булимии и нервной анорексии является:,B,B
moral_scenarios/test/768,"В каком из этих двух сценариев главный герой (который использует я/меня/мой) делает что-то явно морально неправильное, согласно обычным моральным нормам в США по состоянию на 2020 год? Сценарий 1 | Я пошел на ферму посмотреть на кур. Сценарий 2 | Я включал мультфильмы перед своими детьми.",D,C
human_sexuality/test/117,Вас попросили написать ответную статью на исследование Левея о различиях в мозге между гетеросексуалами и гомосексуалами. Каковы правдоподобные критические замечания по поводу работы Левея?,D,A
elementary_mathematics/test/302,"Цена акции компании XYZ в начале недели составляла $24,75. В течение следующих пяти дней акция выросла на $2,50 в понедельник, потеряла $3,25 во вторник, потеряла $0,75 в среду, выросла на $1,25 в четверг и выросла на $4,75 в пятницу. Какова была цена акции в конце пятницы?",C,B
moral_scenarios/test/457,"В каком из этих двух сценариев главный герой (который использует я/меня/мой) делает что-то явно морально неправильное, согласно обычным моральным нормам в США по состоянию на 2020 год? Сценарий 1 | Поблизости не было туалета, поэтому я спросил охранника, где его найти. Сценарий 2 | Я добавил острый соус в праздничный торт моего друга.",C,A
professional_law/test/174,"Полагая, что она беременна, женщина обратилась к врачу, лицензированному гинекологу, потому что она хотела сделать аборт. Врач осмотрел ее и определил, что она не беременна, но решил, что скажет ей, что она беременна, чтобы заработать свой гонорар в 500 долларов. Получив 500 долларов, врач принял решение о том, чтобы женщина была госпитализирована, ложно сообщив руководству больницы, что у нее доброкачественная опухоль на матке, которую он собирается удалить. Он выполнил все хирургические процедуры, необходимые для аборта, в надлежащих гигиенических условиях, но у женщины началось кровотечение, и она умерла. Врач должен быть признан виновным в",B,B
philosophy/test/40,Милль определяет «полезность» как:,C,B
high_school_physics/test/122,"Человек стоит в лифте, который начинает подниматься. Оказывает ли нормальная сила от пола работу на человека?",A,A
high_school_psychology/test/136,От какого из следующих понятий зависит способность музыканта различать два очень похожих звука?,D,B
high_school_macroeconomics/test/69,"Налоговый мультипликатор увеличивается по величине, когда",C,A
marketing/test/50,Какая из перечисленных ниже стратегий ценообразования является наиболее подходящей для использования при выводе на рынок нового и уникального продукта?,A,D
business_ethics/test/89,"_________ — это индивидуальные убеждения о желательном поведении и целях, которые остаются стабильными во времени и влияют на принятие решений.",B,A
high_school_statistics/test/190,"Чтобы определить среднее количество детей, живущих в односемейных домах, исследователь выбирает простую случайную выборку из 50 таких домов. Однако даже после одного контрольного визита интервьюеру не удается связаться ни с кем в 8 из этих домов. Обеспокоенный смещением из-за неответов, исследователь выбирает еще одну простую случайную выборку и просит интервьюера продолжать попытки, пока не будет установлен контакт с кем-то в 50 домах. Среднее количество детей определяется как 1,73. Вероятно, эта оценка слишком низкая или слишком высокая?",C,C
high_school_biology/test/47,"Что из перечисленного лучше всего объясняет, почему люди могут переваривать крахмал, но не могут переваривать целлюлозу, хотя обе молекулы состоят из мономеров глюкозы?",A,A
elementary_mathematics/test/101,Найдите решение уравнения 5x − 5 = −10 из данных чисел.,A,A
logical_fallacies/test/89,Применение нерелевантных стандартов к предмету спора является ошибкой,C,C
college_physics/test/44,"Синий свет с длиной волны 480 нанометров наиболее сильно отражается от тонкой масляной пленки на предметном стекле, если смотреть на него при нормальном падении. Если предположить, что показатель преломления масла равен 1,2, а стекла — 1,6, какова минимальная толщина масляной пленки (отличная от нуля)?",B,A
professional_law/test/1142,"Промышленный город с населением 100 000 человек расположен на северном берегу реки. На южном берегу реки расположена сельская община с населением 40 000 человек. В течение многих лет различные гражданские группы призывали к объединению обеих общин в один поселок с единым правительственным органом. Независимые исследования показали, что такое слияние приведет к огромной экономии налогов для жителей обоих муниципалитетов за счет устранения дублирования услуг. В одном из предыдущих случаев сторонникам плана слияния удалось добиться того, чтобы предложение появилось в качестве референдума о выборах в каждой общине. Хотя референдум о слиянии прошел в промышленном городе со значительным перевесом, избиратели сельской общины отклонили эту меру, опасаясь, что объединенное правительство будет доминироваться и контролироваться более крупным представительством соседа. Чтобы облегчить беспокойство избирателей сельской общины относительно недостаточного представительства в объединенной правительственной системе, соответствующие городские советы обоих муниципалитетов назначили руководящий комитет для формулирования нового предложения. Соответственно, руководящий комитет разработал схему слияния, в которой городской совет объединенного города будет состоять из восьми членов. В рамках этой предлагаемой новой системы управления каждый бывший муниципалитет будет разделен на четыре района. Что касается промышленного города, каждый район будет состоять из 25 000 человек, и в каждом будет один избранный член городского совета. По той же причине сельская община будет разделена на четыре выборных района, каждый из которых будет содержать 10 000 жителей. Один член городского совета также будет избран от каждого из этих районов. Мэр будет избран в целом всеобщим голосованием всех жителей во вновь созданных восьми районах. Перед тем, как это предложение об слиянии было вынесено на голосование, генеральный прокурор штата вынесла консультативное заключение, в котором говорилось, что эта мера, по ее мнению, не нарушает никаких законодательных или конституционных положений. После этого предложение было вынесено на голосование и было принято подавляющим большинством голосов избирателей в обоих муниципалитетах. После выборов, но до официального проведения слияния, два налогоплательщика из промышленного города инициировали иск с требованием запретить объединение, критикуя конституционность непропорциональных представительных округов. Какой из следующих пунктов представляет собой самый сильный конституционный аргумент истцов в поддержку их действий?",A,D
logical_fallacies/test/51,Что из перечисленного описывает ошибочность апелляции к популярности?,B,B
medical_genetics/test/87,"Мутации, вызывающие ахондроплазию, оказывают эффект, который можно классифицировать как:",B,A
high_school_microeconomics/test/3,"Вам говорят, что перекрестная ценовая эластичность между товарами X и Y составляет +2,0. Это означает, что",D,D
professional_medicine/test/263,"15-летнего мальчика привела в кабинет его мать, потому что он был уставшим и раздражительным в течение последних 3 месяцев. Он учится в старшей школе и является членом команды по легкой атлетике. Он сообщает, что его симптомы начались вскоре после начала весенних тренировок. Он занимается спринтом 5 вечеров в неделю и бегает от 2 до 5 миль несколько дней в неделю в дополнение к тренировкам ног с отягощениями. Он признается, что устал, и говорит, что тренировки становятся более интенсивными, и что он немного обеспокоен своей способностью продолжать в команде. Его аппетит не изменился. Медицинский анамнез ничем не примечателен, и он не принимает никаких лекарств. Он был вашим пациентом в течение последних 3 лет. Он кажется более угрюмым, чем вы помните по предыдущим визитам. Вы просите его мать покинуть смотровой кабинет, пока вы заканчиваете медицинский осмотр. После того, как она выходит из кабинета, он признается, что его беспокоят какие-то уплотнения в паху. Наиболее целесообразно получить дополнительный анамнез относительно чего из следующего?",D,B
college_chemistry/test/79,Что из перечисленного относится к сопряженным кислотно-основным парам?,B,B
us_foreign_policy/test/63,"По мнению Розенау, какой фактор важно учитывать при объяснении внешнеполитического поведения Соединенных Штатов?",D,B
jurisprudence/test/49,Что Дворкин подразумевает под «семантическим уколом»?,D,C
professional_psychology/test/259,"Когда вы консультируетесь с коллегой по поводу «терапевтического тупика», в котором вы оказались с клиентом терапии:",D,C
college_medicine/test/64,"Если средняя скорость потребления кислорода спортсменом-мужчиной за тренировку составляет 2 л/мин, то скорость расхода энергии у него примерно равна:",D,A
professional_medicine/test/261,"25-летний мужчина доставлен в отделение неотложной помощи после того, как был обнаружен дома в полубессознательном состоянии и бессвязном состоянии. По прибытии он находится в состоянии ступора. Его артериальное давление составляет 105/70 мм рт. ст., пульс — 80/мин, а дыхание — 12/мин. Осмотр показывает прохладную, влажную кожу. Зрачки точечные и вяло реагируют на свет. Какое из следующих веществ, скорее всего, было принято?",D,A
us_foreign_policy/test/9,В американском правительстве право объявлять войну принадлежит,D,A
moral_disputes/test/100,Что из перечисленного является примером порока характера?,D,D
professional_law/test/534,"1 сентября производитель переносных питьевых фонтанчиков отправил продавцу питьевых фонтанчиков подписанное предложение, в котором говорилось: «Имейте 200 питьевых фонтанчиков по 100 долларов за штуку для поставки в октябре. Обратите внимание, что это предложение будет действовать до 1 октября». 30 сентября продавец отправил следующее письмо, которое было получено производителем 1 октября: «Ваше предложение настоящим принимается, но запрашивайте поставку 100 питьевых фонтанчиков в октябре и 100 в ноябре». Однако 29 сентября производитель отправил продавцу факс с отзывом своего предложения, который был получен в тот же день. Этот отзыв",D,B
nutrition/test/1,"При каком из следующих обстоятельств распространенность заболевания среди населения увеличится, если все остальные параметры останутся неизменными?",B,D
professional_accounting/test/34,"Лонг был агентом по закупкам для Frost, индивидуального предпринимателя. Лонг имел прямые полномочия размещать заказы на закупку у поставщиков Frost. Лонг вел бизнес в Интернете и мало контактировал с Frost. После того, как Frost был признан недееспособным в судебном порядке, Лонг разместил заказ в Grant Corp. от имени Frost. И Лонг, и Грант не знали о некомпетентности Frost. Будет ли Frost или законный представитель Frost нести ответственность перед Grant?",D,B
international_law/test/19,Какое из следующих утверждений является ложным?,D,C
college_biology/test/42,"Что из перечисленного увеличит скорость, с которой газ диффундирует между альвеолами легких и кровью в легочных капиллярах?",C,A
human_sexuality/test/41,В какой день типичного 28-дневного менструального цикла у женщины вероятна овуляция?,C,C
professional_accounting/test/155,"Оборачиваемость запасов (IT) фирмы составляет 5 раз от себестоимости проданных товаров (COGS) в размере $800 000. Если IT улучшается в 8 раз, а COGS остается прежней, то значительная сумма средств высвобождается или дополнительно инвестируется в запасы. Фактически,",D,A
electrical_engineering/test/105,"Самая низкая критическая частота соответствует нулю и может присутствовать в начале координат или ближе к нему, тогда тип сети",D,A
professional_law/test/1205,"Мать отвезла своего пятилетнего ребенка в отделение неотложной помощи больницы для лечения. Врач из персонала больницы приставал к ребенку, пока оказывал ей помощь. В это время в процедурном кабинете не было никого, кроме врача и ребенка; мать вышла из кабинета, чтобы выпить чашку кофе. Две недели спустя, когда ребенок рассказал матери о том, что произошло в процедурном кабинете, мать испытала сильный эмоциональный стресс, из-за которого ей стало физически плохо. Вероятно ли, что мать выиграет дело в иске против врача, поданном матерью от ее собственного имени с целью возмещения ущерба за преднамеренное причинение эмоционального стресса?",B,B
moral_scenarios/test/154,"В каком из этих двух сценариев главный герой (который использует я/меня/мой) делает что-то явно морально неправильное, согласно обычным моральным стандартам в США по состоянию на 2020 год? Сценарий 1 | Моя мама попросила меня тщательно вымыть ванну, поэтому я покрыл ее отбеливателем. Сценарий 2 | На похороны я надел свой костюм клоуна, чтобы почтить память умершего.",C,A
anatomy/test/79,Норадреналин является нейромедиатором между какой из двух структур ниже?,D,B
high_school_psychology/test/477,"Посещая музей, вы изучаете статую, обходя ее и осматривая ее с разных мест в зале. Изображения статуи на сетчатке глаза меняются, но вы не воспринимаете эти изменения из-за",C,C
high_school_psychology/test/532,"У людей палочки, в отличие от колбочек,",D,C
management/test/48,Каковы характеристики запрограммированного решения?,D,C
philosophy/test/191,"Гоббс утверждает, что все законы природы можно свести к следующему правилу:",C,C
professional_law/test/1051,"Недавно Конгресс принял закон, требующий от всех мужчин в возрасте от 18 до 30 лет проходить медицинский осмотр каждый год. Результаты осмотра отправляются в государственный информационный центр данных с целью хранения информации о мужчинах, которые могут быть призваны в армию. У 25-летнего выпускника юридического факультета герпес. Недавно он отправил резюме во многие государственные учреждения. Опасаясь, что информация о его заболевании герпесом станет общедоступной, он добивается декларативного решения, которое запретило бы правительству требовать от него прохождения медицинского осмотра. Какой из следующих пунктов является лучшей конституционной основой в поддержку федерального закона?",C,B
college_biology/test/92,"Равновесие Харди-Вайнберга обычно предполагает все перечисленное, КРОМЕ:",B,B
astronomy/test/68,"Небулярная теория формирования Солнечной системы успешно предсказывает все, кроме одного из следующих пунктов. Какой из них не предсказывает теория?",B,A
college_biology/test/59,"Что из перечисленного является биологическим признаком, который, скорее всего, позволит виду стать космополитичным в своем распространении?",D,D
high_school_mathematics/test/91,"Пусть $f(x)=3x+4$ и $g(x)=2x-3$. Если $h(x)=f(g(x))$, то чему равно обратное $h(x)$?",C,A
moral_scenarios/test/351,"В каком из этих двух сценариев главный герой (который использует я/меня/мой) делает что-то явно морально неправильное, согласно обычным моральным нормам в США по состоянию на 2020 год? Сценарий 1 | Мне нравится бросать своего кота на кровать. Сценарий 2 | Я дал животному двадцать таблеток обезболивающего, когда увидел, что ему больно.",C,A
professional_accounting/test/207,"Аудитор может предоставить клиенту-эмитенту любую из следующих неаудиторских услуг без ущерба для независимости и без получения предварительного одобрения аудиторского комитета, за исключением:",C,B
marketing/test/89, Что из перечисленного не является полезной основой для сегментирования организационных характеристик?,A,A
clinical_knowledge/test/137,Что из этого с наибольшей вероятностью может вызвать отклонение трахеи?,C,C
prehistory/test/206,Минойцы населяли _________ остров Крит.,A,A
philosophy/test/227,"Ансельм предполагает, что существо, существующее в реальности, больше существа, которое _____.",C,C
professional_law/test/327,"Муж и жена передали часть своей унаследованной семейной фермы своей племяннице за вознаграждение, но значительно ниже рыночной стоимости. Однако они сохранили за собой право возврата следующим образом: «РЕЗЕРВАЦИЯ в пользу Дарителей, их наследников и правопреемников, автоматический возврат, если переданное здесь имущество когда-либо будет заложено или обременено в течение жизни любого из Дарителей». После смерти мужа племянница заложила имущество. Может ли оставшаяся в живых жена принудительно реализовать автоматический возврат, вернув себе право собственности?",D,A
professional_law/test/554,"В письменном договоре продавец согласился поставить покупателю 1000 виджетов по оговоренной цене 10 долларов за штуку, FOB в месте нахождения продавца. Договор предусматривал, что «любая сторона, желающая уступить этот договор, должна иметь письменное согласие другой стороны». 1 марта продавец поместил виджеты на борт грузового судна, которое должно было доставить виджеты покупателю. 2 марта покупатель получил следующую телеграмму от продавца: «Сообщаю, что виджеты находятся в пути. Кроме того, настоящим я уступаю все свои права по нашему договору нашему кредитору». Покупатель не дал согласия на уступку. На следующий день судно, перевозившее виджеты, затонуло в сильном шторме, уничтожив весь груз. Если кредитор предъявит соответствующий иск покупателю, первый, скорее всего, получит возмещение",C,A
high_school_us_history/test/41,"Этот вопрос относится к следующей информации.
""Совесть народа во время серьезных национальных проблем вызвала к жизни новую партию, рожденную чувством справедливости нации. Мы, Прогрессивная партия, посвящаем себя выполнению долга, возложенного на нас нашими отцами, поддерживать правительство народа, народом и для народа, основы которого они заложили. Мы считаем, как Томас Джефферсон и Авраам Линкольн, что народ является хозяином своей Конституции, чтобы выполнять ее цели и защищать ее от тех, кто, извращая ее намерения, хотел бы превратить ее в инструмент несправедливости. В соответствии с потребностями каждого поколения народ должен использовать свои суверенные полномочия для установления и поддержания равных возможностей и промышленной справедливости, для обеспечения которых было основано это правительство и без которых ни одна республика не может существовать.
""Эта страна принадлежит народу, который ее населяет. Ее ресурсы, ее бизнес, ее институты и ее законы должны использоваться, поддерживаться или изменяться любым способом, который наилучшим образом будет способствовать общим интересам. Пришло время поставить общественное благосостояние на первое место».
Платформа Прогрессивной партии, 1912 г.
Из следующих политических мер, какая НЕ была главной целью американских прогрессистов?",D,D
philosophy/test/41,"По мнению Канта, давать ложное обещание было бы неправильно, потому что _____.",C,B
moral_scenarios/test/341,"В каком из этих двух сценариев главный герой (который использует я/меня/мой) делает что-то явно морально неправильное, согласно обычным моральным нормам в США по состоянию на 2020 год? Сценарий 1 | Моя подруга в последнее время часто одалживала мне ее машину, поэтому я решил заправить бензобак, не сказав ей. Сценарий 2 | У меня вши в волосах, поэтому я одолжу своей сестре свою расческу.",C,A
high_school_microeconomics/test/47,"Конкурентный рынок труда в настоящее время находится в равновесии. Что из перечисленного, скорее всего, увеличит рыночную заработную плату?",B,A
high_school_government_and_politics/test/100,Что из перечисленного ниже лучше всего описывает практику «разделения билетов»?,B,A
high_school_chemistry/test/72,"Образец газообразного кислорода при температуре 50 °C нагревается, достигая конечной температуры 100 °C. Какое утверждение лучше всего описывает поведение молекул газа?",D,C
human_aging/test/213,"Потеря слизистой оболочки желудка может привести к симптомам, напоминающим",B,A
moral_scenarios/test/549,"В каком из этих двух сценариев главный герой (который использует я/меня/мой) делает что-то явно морально неправильное, согласно обычным моральным нормам в США по состоянию на 2020 год? Сценарий 1 | Я полностью обнажил свое тело на нудистском пляже. Сценарий 2 | Я не хочу видеть, как дразнят моего ребенка, поэтому я исправлю ему уши.",D,C
high_school_biology/test/156,"Первые простые клетки появились примерно 3,5 миллиарда лет назад, а за ними последовали более сложные эукариотические клетки 2,1 миллиарда лет назад. Какое из следующих утверждений верно?",A,A
college_computer_science/test/32,"Боб записывает число от 1 до 1000. Мэри должна определить это число, задавая Бобу вопросы типа «да/нет». Мэри знает, что Боб всегда говорит правду. Если Мэри использует оптимальную стратегию, то она определит ответ в конце скольких именно вопросов в худшем случае?",D,B
high_school_macroeconomics/test/329,Стагфляция является результатом,A,C
professional_medicine/test/158,"Мужчина 78 лет обратился в клинику с жалобой на сильную боль в шее. Он оценил боль на 7 баллов по шкале от 0 до 10. Он отрицает наличие какой-либо травмы, но сообщает, что в течение последней недели много занимался живописью. Он отрицает наличие корешковой боли или онемения. Диапазон движений в шейном отделе позвоночника умеренно ограничен во всех областях. Его лечат с помощью артикуляционной пружинящей техники. Четыре часа спустя врач получает звонок из местного отделения неотложной помощи, где пациент поступил в состоянии спутанности сознания, тошноты и головокружения. Врач может быть признан ответственным, если",C,A
high_school_computer_science/test/11,"Исторически было замечено, что скорость обработки данных компьютерами, как правило, удваивается каждые два года. Что из следующего лучше всего описывает, как технологические компании могут использовать это наблюдение для целей планирования?",C,B
high_school_psychology/test/274,Что из перечисленного НАИМЕНЬШЕ всего способствует возникновению предрассудков?,D,C
professional_psychology/test/202,"В течение многих месяцев людям разного возраста, расы и социального происхождения предлагается ряд тестовых заданий, чтобы определить, какие вопросы будут сохранены в окончательной версии теста. Этот процесс называется",D,C
formal_logic/test/5," Выберите лучшую английскую интерпретацию данного предложения, используя следующий ключ перевода: Ax: x — квартира Hx: x — дом Lx: x большой Bxy: x больше, чем y (∃x)[Hx • (∀y )(Ay ⊃ Bxy)]",D,A
moral_scenarios/test/192,"В каком из этих двух сценариев главный герой (который использует я/меня/мой) делает что-то явно морально неправильное, согласно обычным моральным нормам в США по состоянию на 2020 год? Сценарий 1 | Я всегда давал дополнительные баллы на экзаменах тем, кто давал правильные ответы. Сценарий 2 | Я зажег фейерверк в офисном здании.",C,A
philosophy/test/258,"Хэре называет людей, которые поддерживают идеалы, не обращая внимания на то, преследуют ли они интересы других людей, следующими:",A,B
abstract_algebra/test/77,Найдите характеристику кольца Z x Z.,A,C
electrical_engineering/test/82,Трехступенчатый буфер имеет следующие выходные состояния,C,C
marketing/test/94,Какой элемент рекламного комплекса справляется с неблагоприятными историями и событиями и способствует формированию положительного корпоративного имиджа?,D,D
public_relations/test/3,В каком году BBC начала радиовещание?,B,C
electrical_engineering/test/25,"Частота питания, обычно используемая для высокочастотного вихретокового нагрева, составляет",D,C
high_school_psychology/test/28,"Исследователь проверяет навыки решения проблем двадцати 10-летних, двадцати 20-летних и двадцати 30-летних участников для исследования возраста и решения проблем. Какой метод исследования использует этот исследователь?",D,A
abstract_algebra/test/16,"Обратным к -i в мультипликативной группе {1, -1, i , -i} является",C,D
sociology/test/126,Вебер определил «классовую ситуацию» как:,C,B
high_school_psychology/test/188,"Иерархия потребностей Абрахама Маслоу предполагает, что каждый человек мотивирован чем?",B,B
professional_accounting/test/139,"Какой из следующих факторов, скорее всего, усилит обеспокоенность аудитора относительно риска мошеннической финансовой отчетности?",D,A
college_computer_science/test/96,"Рассмотрим объектно-ориентированный язык, в котором все сущности являются объектами. Возникают два отношения: (1) отношение экземпляра между объектом и классом, членом которого является этот объект, и (2) отношение подкласса между классом и суперклассом, от которого этот класс наследует свойства. В таком языке, когда сообщение отправляется объекту с запросом на выполнение одного из его методов (процедур), метод находится путем следования",A,C
world_religions/test/107,Характерной чертой какой христианской конфессии является говорение на языках?,C,A
miscellaneous/test/201,"Сила равна массе, умноженной на что?",C,C
professional_law/test/692,"Женщине нужно было отремонтировать микроволновку. Она обратилась к местному мастеру, который сказал, что может отремонтировать микроволновку за 100 долларов. Женщина с готовностью согласилась и отдала микроволновку мастеру, который пообещал, что она будет готова через две недели. Через неделю мастер понял, что у него так много работы, что он не сможет отремонтировать микроволновку вовремя. Затем он отвез микроволновку в ремонтную мастерскую. Мастерская согласилась отремонтировать микроволновку за 80 долларов в течение одной недели. Владелец ремонтной мастерской, заключивший договор с мастером, не знал, что микроволновка на самом деле принадлежит женщине. Если мастерская не сможет отремонтировать микроволновку, какое из следующих утверждений является наиболее точным?",B,C
electrical_engineering/test/20,"Концепция управления V/f инверторами, приводящими в движение асинхронные двигатели, приводит к",A,A
clinical_knowledge/test/122,Какой из перечисленных препаратов можно использовать для усиления моторики желудка?,C,D
machine_learning/test/28,Усреднение выходных данных нескольких деревьев решений помогает _.,D,B
professional_psychology/test/18,"Руководитель диссертации аспиранта, доктор X, оказывается малополезным, и студент в конечном итоге получает совет и помощь от доцента, доктора Z. Доктор X действительно рецензирует диссертацию, когда она завершена, и она указана в качестве руководителя диссертации. Несколько месяцев спустя студент решает написать статью для профессионального журнала, которая основана на его диссертационном исследовании. С точки зрения кредита на публикацию:",B,C
miscellaneous/test/365,Какое из этих выражений является жаргонным обозначением слова «полиция»?,A,A
professional_accounting/test/74,"Если ордер дает право купить одну акцию обыкновенных акций и может быть исполнен по цене 20 долларов за акцию, тогда как рыночная цена акции составляет 30 долларов, то теоретическая стоимость ордера составляет:",B,A
clinical_knowledge/test/255,"При сборе анамнеза опорно-двигательного аппарата, что из перечисленного верно?",A,C
high_school_statistics/test/86,"Проект Тины на научной выставке заключался в оценке среднего количества химикатов в водоснабжении ее города. Сначала она решила использовать случайную выборку из 15 наблюдений. Но ее учитель попросил ее взять 35 наблюдений. Среднее значение и стандартное отклонение из 35 наблюдений оказались примерно такими же, как и из 15 наблюдений. Есть ли какое-либо преимущество в использовании 35 наблюдений вместо 15 наблюдений?",D,A
professional_psychology/test/57,"60-летний начальник пожарной охраны направил вас, потому что политика отдела требует оценки пригодности, когда сотрудник достигает этого возраста. Вас попросили помочь в оценке пригодности цис. Какой из следующих факторов будет наиболее важным для рассмотрения при оценке",D,A
miscellaneous/test/541,Каково было первоначальное название компьютера Apple Macintosh XL?,A,B
electrical_engineering/test/94,В машине постоянного тока используется шестиполюсная волновая обмотка. Число параллельных путей?,C,A
high_school_world_history/test/89,"Этот вопрос относится к следующей информации.
Уровень грамотности среди русскоязычного населения поздней императорской России и Советского Союза, 1897–1955 гг.
Уровень грамотности
1897 г. 24%
1917 г. 45%
1926 г. 56%
1937 г. 75%
1939 г. 81,10%
1955 г. 99,90%
Источник: данные переписи и Министерства образования СССР
Информация, представленная в приведенной выше таблице, лучше всего понятна в каком из следующих исторических контекстов?",B,B
high_school_chemistry/test/30,Длина связи между любыми двумя атомами неметалла достигается при каком из следующих условий?,A,C
prehistory/test/122,Оппортунистическое кормодобывание включает в себя:,D,C
sociology/test/6,В 1980-х годах наблюдался рост неравенства доходов по следующим причинам:,D,C
formal_logic/test/110,Выберите лучший перевод в логику предикатов: Все студенты первого курса сдают тест по плаванию.,B,A
professional_psychology/test/387,"Рационально-экономическая модель принятия решений основана на предположении, что:",B,B
security_studies/test/13,"Какой из перечисленных принципов не является одним из объединяющих принципов критических исследований безопасности, как он определен Краузе?",B,C
prehistory/test/12,"К концу плейстоцена, между 28 000 и 18 000 лет назад, уровень мирового океана был намного ниже современного, что привело к обнажению суши к востоку от Сибири, называемой __________. Этот период называется _______.",C,A
