id,question_en,original_answer,model_answer
philosophy/test/40,Mill defines “utility” as:,C,B
high_school_physics/test/122,A man stands in an elevator as it begins to ascend. Does the normal force from the floor do work on the man?,A,A
high_school_psychology/test/136,A musician's ability to make a distinction between two very similar pitches depends on which of the following concepts?,D,B
high_school_macroeconomics/test/69,The tax multiplier increases in magnitude when,C,A
marketing/test/50,Which of the following is the most appropriate pricing strategy to use when introducing a new and unique product to the market?,A,A
business_ethics/test/89,_________ are individual beliefs about desirable behaviours and goals that are stable over time and which influence decision making.,B,B
high_school_statistics/test/190,"To determine the average number of children living in single-family homes, a researcher picks a simple random sample of 50 such homes. However, even after one follow-up visit the interviewer is unable to make contact with anyone in 8 of these homes. Concerned about nonresponse bias, the researcher picks another simple random sample and instructs the interviewer to keep trying until contact is made with someone in a total of 50 homes. The average number of children is determined to be 1.73. Is this estimate probably too low or too high?",C,A
high_school_biology/test/47,Which of the following best explains why people can digest starch but cannot digest cellulose even though both molecules are composed of glucose monomers?,A,A
elementary_mathematics/test/101,Identify a solution for the equation 5x − 5 = −10 from the given numbers.,A,D
logical_fallacies/test/89,Applying irrelevant standards to the subject of the argument is the fallacy of,C,C
college_physics/test/44,"Blue light of wavelength 480 nanometers is most strongly reflected off a thin film of oil on a glass slide when viewed near normal incidence. Assuming that the index of refraction of the oil is 1.2 and that of the glass is 1.6, what is the minimum thickness of the oil film (other than zero) ?",B,A
professional_law/test/1142,"An industrial town with a population of 100,000, is located on the north side of a river. On the south side of the river is situated a rural community with a population of 40,000. For many years, various civic groups have urged that both communities merge into one township with a single governmental body. Independent studies have indicated that such a merger would result in an enormous tax savings to the residents of both municipalities by eliminating the duplication of services. On one previous occasion, proponents of the merger pian succeeded in having the proposal appear as an election referendum in each community. Although the merger referendum passed in the industrial town by a sizable margin, the voters of the rural community rejected the measure, fearing the combined government would be dominated and controlled by its neighbor's larger representation. In order to alleviate the concern of the rural community's voters regarding under representation in a merged governmental system, the respective city councils of both municipalities appointed a steering committee to formulate a new proposal. Accordingly, the steering committee devised a merger scheme wherein the city council of the united city, would consist of eight members. Within this proposed new system of government, each former municipality would be divided into four districts. With respect to the industrial town, each district would consist of 25,000 persons and each would have one elected city council member. By the same token, the rural community would be divided into four elective districts, each containing 10,000 residents. One city council member would be elected from each of these districts as well. The mayor would be elected at large by a popular vote of all residents in the newly created eight districts. Before this merger proposal was placed on the ballot, the state attorney general issued an advisory opinion stating that the measure did not, in her opinion, violate any statutory or constitutional provisions. Thereafter, the proposal was placed on the ballot and was overwhelmingly passed by the voters in both municipalities. After the election, but before the merger had officially been carried out, two taxpayers from the industrial town initiated suit to enjoin the unification, attacking the constitutionality of the disproportionate representative districts. Which of the following represents the plaintiffs' strongest constitutional argument in support of their action?",A,A
logical_fallacies/test/51,Which of the following describes the fallacy of appeal to popularity?,B,B
medical_genetics/test/87,Mutations that cause achondroplasia exert an effect which can be classified as:,B,C
high_school_microeconomics/test/3,You are told that the cross-price elasticity between goods X and Y is +2.0. This means that,D,C
professional_medicine/test/263,"A 15-year-old boy is brought to the office by his mother because he has been tired and irritable for the past 3 months. He is a high school freshman and a member of the track team. He reports that his symptoms began shortly after starting spring training. He practices sprints 5 nights a week and runs 2 to 5 miles several days a week in addition to leg training with weights. He admits to being tired and says the training is becoming more intense and that he is a little concerned about his ability to continue on the team. His appetite has been unchanged. Medical history is unremarkable and he takes no medications. He has been your patient for the past 3 years. He seems more sullen than you remember from previous visits. You ask his mother to leave the examining room while you complete the physical examination. After she leaves the room, he admits that he is worried about some lumps in his groin. It is most appropriate to obtain additional history regarding which of the following?",D,B
college_chemistry/test/79,Which of the following is classified as a conjugate acid-base pair?,B,B
us_foreign_policy/test/63,"According to Rosenau, which factor is important to consider in explaining the foreign policy behavior of the United States?",D,D
jurisprudence/test/49,What does Dworkin mean by the 'semantic sting'?,D,B
professional_psychology/test/259,When consulting with a colleague about a “therapeutic impasse” you are having with a therapy client:,D,A
college_medicine/test/64,"If the mean rate of oxygen consumption of a male athlete during a training session is 2 l/min, then his rate of energy expenditure is approximately:",D,A
professional_medicine/test/261,"A 25-year-old man is brought to the emergency department after being discovered semiconscious and incoherent at home. On arrival, he is stuporous. His blood pressure is 105/70 mm Hg, pulse is 80/min, and respirations are 12/min. Examination shows cool, damp skin. The pupils are pinpoint and react sluggishly to light. Which of the following is the most likely substance taken?",D,A
us_foreign_policy/test/9,"In American government, the power to declare war rests with",D,D
moral_disputes/test/100, Which of the following is an example of a vice of character?,D,D
professional_law/test/534,"On September 1, a manufacturer of portable drinking fountains mailed to a drinking fountain retailer a signed offer that stated: ""Have 200 drinking fountains available at $100 each for October delivery. Be advised that this offer will remain open until October 1. ""On September 30, the retailer mailed the following letter, which was received by the manufacturer on October 1: ""Your offer is hereby accepted, but request delivery of 100 drinking fountains in October and 100 in November. ""However, on September 29, the manufacturer sent a fax to the retailer revoking its offer, which was received the same day. This revocation is",D,A
nutrition/test/1,"In which one of the following circumstances will the prevalence of a disease in the population increase, all else being constant?
",B,D
professional_accounting/test/34,"Long was a purchasing agent for Frost, a sole proprietor. Long had express authority to place purchase orders with Frost's suppliers. Long conducted business on the Internet and had little contact with Frost. After Frost was declared incompetent in a judicial proceeding, Long placed an order with Grant Corp. on Frost's behalf. Both Long and Grant were unaware of Frost's incompetence. Will Frost or Frost's legal representative be liable to Grant?",D,A
international_law/test/19,Which of the following statements is false?,D,C
college_biology/test/42,Which of the following would increase the rate at which a gas diffuses between the alveoli of the lung and the blood within a pulmonary capillary?,C,C
human_sexuality/test/41,What day of a typical 28-day menstrual cycle is a woman likely to ovulate?,C,C
professional_accounting/test/155,"A firm's inventory turnover (IT) is 5 times on a cost of goods sold (COGS) of $800,000. If the IT is improved to 8 times while the COGS remains the same, a substantial amount of funds is released from or additionally invested in inventory. In fact,",D,A
electrical_engineering/test/105,"Lowest critical frequency is due to zero and it may be present at the origin or nearer to the origin, then the type of network is",D,A
professional_law/test/1205,"A mother took her five-year-old child to a hospital emergency room for treatment. A doctor on the hospital staff molested the child while treating her. At the time, no one was in the treatment room except the doctor and the child; the mother had left the room to get a cup of coffee. Two weeks later, when the child told her mother what had occurred in the treatment room, the mother suffered severe emotional distress that caused her to become physically ill. In an action against the doctor by the mother on her own behalf to recover for intentional infliction of emotional distress, is the mother likely to prevail?",B,B
moral_scenarios/test/154,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | My mom asked me to deep clean the bath so I covered it in bleach. Scenario 2 | For the funeral, I wore my clown costume to honor the dead.",C,B
anatomy/test/79,Noradrenaline is the neurotransmitter between which of the two structures below?,D,B
high_school_psychology/test/477,"While visiting a museum, you study a statue by walking around it and examining it from many different places in the room. The retinal images of the statue change, but you do not perceive these changes because of",C,B
high_school_psychology/test/532,"In people, rods, unlike cones,",D,A
management/test/48,What are characteristics of a programmed decision?,D,B
philosophy/test/191,Hobbes claims that all of the laws of nature can be summarized in the precept:,C,C
professional_law/test/1051,"Congress has recently enacted a statute requiring all males between the ages of 18 and 30 to take a physical examination each year. The results of the exam are sent to a government data information center for the purpose of keeping information about men who may be drafted into the military. A 25-year-old law school graduate has herpes. He has recently sent resumes to many governmental agencies. Fearful that the information about his herpes condition will become available, he seeks a declaratory judgment that would forbid the government from requiring him to take a physical examination. Which of the following is the best constitutional basis in support of the federal law?",C,A
college_biology/test/92,Hardy-Weinberg equilibrium generally assumes all of the following EXCEPT,B,B
astronomy/test/68,The nebular theory of the formation of the solar system successfully predicts all but one of the following. Which one does the theory not predict?,B,A
college_biology/test/59,Which of the following is a biological attribute that would most likely allow a species to become cosmopolitan in distribution?,D,D
high_school_mathematics/test/91,"Let $f(x)=3x+4$ and $g(x)=2x-3$. If $h(x)=f(g(x))$, then what is the inverse of $h(x)$?",C,B
moral_scenarios/test/351,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I like to toss my cat onto the bed. Scenario 2 | I gave the animal twenty pain pills when I saw he was hurting.",C,B
professional_accounting/test/207,"An auditor may provide an issuer client any of the following nonaudit services without impairing independence and without obtaining the preapproval of the audit committee, except",C,A
marketing/test/89, Which of the following is not a useful base for segmenting organizational characteristics?,A,A
clinical_knowledge/test/137,Which of these is most likely to cause deviation of the trachea?,C,A
prehistory/test/206,The Minoans inhabited the _________ island of Crete.,A,A
philosophy/test/227,Anselm assumes that a being that exists in reality is greater than a being that _____.,C,C
professional_law/test/327,"Husband and wife conveyed a part of their inherited family farm to their niece for consideration, but substantially below market value. They retained a reverter back to themselves, however, as follows: ""RESERVATION in favor of the Grantors, their heirs and assigns, an automatic reverter, should the property conveyed herein ever be mortgaged or encumbered within the life time of either Grantor."" After husband died, the niece mortgaged the property. Can the surviving wife enforce the automatic reverter putting title back in herself?",D,B
professional_law/test/554,"In a written contract, a seller agreed to deliver to a buyer 1,000 widgets at a stipulated price of $10 each, FOB at the seller's place of business. The contract stipulated that ""any party who wishes to assign this contract must have the written consent of the other party. "" On March 1, the seller placed the widgets on board a cargo vessel that was destined to transport the widgets to the buyer. On March 2, the buyer received the following telegram from the seller:""Please be advised that the widgets are in transit. In addition, I hereby assign all my rights under our contract to our creditor. ""The buyer did not consent to the assignment. The next day, the ship carrying the widgets sank in a violent storm, destroying its entire cargo. If the creditor brings an appropriate action against the buyer, the former will most likely recover",C,A
high_school_us_history/test/41,"This question refers to the following information.
""The conscience of the people, in a time of grave national problems, has called into being a new party, born of the nation's sense of justice. We of the Progressive party here dedicate ourselves to the fulfillment of the duty laid upon us by our fathers to maintain the government of the people, by the people and for the people whose foundations they laid. We hold with Thomas Jefferson and Abraham Lincoln that the people are the masters of their Constitution, to fulfill its purposes and to safeguard it from those who, by perversion of its intent, would convert it into an instrument of injustice. In accordance with the needs of each generation the people must use their sovereign powers to establish and maintain equal opportunity and industrial justice, to secure which this Government was founded and without which no republic can endure.
""This country belongs to the people who inhabit it. Its resources, its business, its institutions and its laws should be utilized, maintained or altered in whatever manner will best promote the general interest. It is time to set the public welfare in the first place.""
Progressive Party Platform, 1912
Of the following policies, which was NOT a main objective of American Progressives?",D,D
philosophy/test/41,"To Kant, making a lying promise would be wrong because _____.",C,C
moral_scenarios/test/341,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | My friend has been letting me borrow her car a lot lately, so I decided to fill the gas tank without telling her. Scenario 2 | I have lice in my hair, so I'll lend my sister my hair brush.",C,B
high_school_microeconomics/test/47,A competitive labor market is currently in equilibrium. Which of the following most likely increases the market wage?,B,A
high_school_government_and_politics/test/100,"Which of the following best describes the practice of ""ticket splitting""?",B,A
high_school_chemistry/test/72,"A sample of oxygen gas at 50 °C is heated, reaching a final temperature of 100 °C. Which statement best describes the behavior of the gas molecules?",D,C
human_aging/test/213,Loss of stomach lining can lead to symptoms that resemble,B,A
moral_scenarios/test/549,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I bared my entire naked body at the nudist beach. Scenario 2 | I don't want to see my baby being teased, so I'll have his ears fixed.",D,C
high_school_biology/test/156,"The first simple cells evolved approximately 3.5 billion years ago, followed by the more complex eukaryotic cells 2.1 billion years ago. Which of the following statements is correct?",A,A
college_computer_science/test/32,"Bob writes down a number between 1 and 1,000. Mary must identify that number by asking ""yes/no"" questions of Bob. Mary knows that Bob always tells the truth. If Mary uses an optimal strategy, then she will determine the answer at the end of exactly how many questions in the worst case?",D,C
high_school_macroeconomics/test/329,Stagflation is the result of,A,C
professional_medicine/test/158,"A 78-year-old male presents to the office with the complaint of severe neck pain. He rates the pain as a 7 on a scale of 0 to 10 scale. He denies any trauma but reports that he had been doing a lot of painting over the past week. He denies any radicular pain or numbness. Cervical range of motion is moderately limited in all fields. He is treated with articulatory springing technique. Four hours later the physician receives a call from the local emergency department, where the patient presented confused, nauseated, and vertiginous. The physician may be found liable if",C,A
high_school_computer_science/test/11,"Historically, it has been observed that computer processing speeds tend to double every two years. Which of the following best describes how technology companies can use this observation for planning purposes?",C,C
high_school_psychology/test/274,Which of the following is LEAST likely to contribute to prejudice?,D,C
professional_psychology/test/202,"Over the course of many months, a series of test items is administered to people of varying ages, races, and social backgrounds, to determine which questions will be retained on the final version of a test. This process is called",D,C
formal_logic/test/5," Select the best English interpretation of the given proposition, using the following translation key: Ax: x is an apartment Hx: x is a house Lx: x is large Bxy: x is bigger than y (∃x)[Hx • (∀y)(Ay ⊃ Bxy)]",D,A
moral_scenarios/test/192,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I always gave extra credit on exams to those who had the right answers. Scenario 2 | I ignited the fireworks in the office building.",C,A
philosophy/test/258,Hare refers to people who endorse ideals without regard for whether people’s interests are pursued by them as:,A,B
abstract_algebra/test/77,Find the characteristic of the ring Z x Z.,A,C
electrical_engineering/test/82,A three-state buffer has the following output states,C,C
marketing/test/94,Which element of the promotional mix handles unfavorable stories and events and promotes a good corporate image?,D,D
public_relations/test/3,In what year did the BBC start broadcasting radio?,B,B
electrical_engineering/test/25,The supply frequency usually employed for high frequency eddy current heating is,D,D
high_school_psychology/test/28,"A researcher tests the problem solving skills of twenty 10-year-old, twenty 20-year-old, and twenty 30-year-old participants for a study on age and problem solving. What research method is this researcher using?",D,D
abstract_algebra/test/16,"The inverse of -i in the multiplicative group, {1, -1, i , -i} is",C,D
sociology/test/126,Weber defined a 'class situation' as:,C,C
high_school_psychology/test/188,Abraham Maslow's hierarachy of needs theorizes that each person is motivated by what?,B,B
professional_accounting/test/139,Which of the following factors most likely would heighten an auditor's concern about the risk of fraudulent financial reporting?,D,A
college_computer_science/test/96,"Consider an object-oriented language in which all entities are objects. Two relationships arise: (1) the instance relationship, between an object and the class of which that object is a member, and (2) the subclass relationship, between a class and the superclass from which that class inherits properties. In such a language, when a message is sent to an object requesting execution of one of its methods (procedures), the method is located by following",A,A
world_religions/test/107,Speaking in tongues is a feature of which Christian denomination?,C,C
miscellaneous/test/201,Force equals mass times what?,C,D
professional_law/test/692,"A woman needed to have her microwave repaired. She contacted the local handyman, who said he could repair the microwave for $100. The woman readily agreed and delivered the microwave to the handyman, who promised to have it ready in two weeks. One week later, the handyman realized that he had so much work to do that he would not be able to repair the microwave on time. He then took the microwave to a repair store. The repair store agreed to repair the microwave for $80 within one week. The owner of the repair store that contracted with the handyman was unaware that the woman actually owned the microwave. If the repair store fails to repair the microwave, which of the following is the most accurate statement?",B,C
electrical_engineering/test/20,The concept of V/f control of inverters driving induction motors resuls in,A,A
clinical_knowledge/test/122,Which of the following drugs may be used to enhance gastric motility?,C,A
machine_learning/test/28,Averaging the output of multiple decision trees helps _.,D,B
professional_psychology/test/18,"A graduate student’s dissertation chair, Dr. X, turns out to be of little help, and the student ends up obtaining advice and assistance from an associate professor, Dr. Z. Dr. X does review the dissertation when it is completed and she is listed as the dissertation chair. Several months later, the student decides to write an article for a professional journal that is based his dissertation research. In terms of publication credit:",B,B
miscellaneous/test/365,Which of these is a slang term for 'police'?,A,A
professional_accounting/test/74,"If a warrant carries a right to buy one share of common stock and is exercisable at $20 per common share while the market price of a share is $30, the theoretical value of the warrant is:",B,A
clinical_knowledge/test/255,When you are taking a musculoskeletal history which of the following is true?,A,A
high_school_statistics/test/86,"Tina’s science fair project was to estimate the mean amount of chemicals in her city’s water supply. At first, she had decided to use a random sample of 15 observations. But her teacher asked her to take 35 observations. The mean and standard deviation from 35 observations turned out to be approximately the same as those from 15 observations. Is there any advantage in using 35 observations instead of 15 observations?",D,D
professional_psychology/test/57,A 60-year-old fire chiefs referred to you because department policy requires a fitness evaluation when an employee reaches this age. You have been asked to assist in cis fitness evaluation. Which of the following would be the most important factor to consider in your evaluation,D,A
miscellaneous/test/541,What was the original name of the Apple Macintosh XL computer?,A,D
electrical_engineering/test/94,In a dc machine 6 pole wave winding is used. The number of parallel paths are?,C,A
high_school_world_history/test/89,"This question refers to the following information.
Literacy rates among the Russian-speaking population of late Imperial Russia and the Soviet Union, 1897–1955
Literacy Rate
1897  24%
1917  45%
1926  56%
1937  75%
1939  81.10%
1955  99.90%
Source: Census data and Soviet Ministry of Education
The information presented in the above chart is best understood in which of the following historical contexts?",B,B
high_school_chemistry/test/30,The bond length between any two nonmetal atoms is achieved under which of the following conditions?,A,C
prehistory/test/122,Opportunistic foraging involves:,D,D
sociology/test/6,There was a growth in income inequality in the 1980s because:,D,A
formal_logic/test/110, Select the best translation into predicate logic: All first-year students take a swim test.,B,A
professional_psychology/test/387,The rational-economic model of decision-making is based on the assumption that:,B,D
security_studies/test/13,"Which of the following is not one of the unifying principles of Critical Security Studies, as defined by Krause?",B,B
prehistory/test/12,"Toward the end of the Pleistocene, between 28,000 and 18,000 years ago, worldwide sea level was much lower than present day, resulting in the exposure of a landmass east of Siberia called __________. This period is called the _______.",C,C
miscellaneous/test/504,What popular toy is featured in the film 'The Hudsucker Proxy'?,B,B
professional_accounting/test/9,"Carson owned 40% of the outstanding stock of a C corporation. During a tax year, the corporation reported $400,000 in taxable income and distributed a total of $70,000 in cash dividends to its shareholders. Carson accurately reported $28,000 in gross income on Carson’s individual tax return. If the corporation had been an S corporation and the distributions to the owners had been proportionate, how much income would Carson have reported on Carson’s individual return?",C,B
elementary_mathematics/test/121,"The value of the digit 5 in 24,513 is how many times the value of the digit 5 in 357?",A,B
formal_logic/test/8," Which of the following propositions is an immediate (one-step) consequence in PL of the given premises?
~E ⊃ ~F
G ⊃ F
H ∨ ~E
H ⊃ I
~I",D,A
professional_law/test/1234,"A homeowner conveyed his property to his cousin ""for life, with remainder to (the homeowner's) heirs. "" Later, the cousin conveyed the property to a farmer ""for as long as he would continue to farm the property. "" After the cousin's death, the homeowner's heirs brought suit against the farmer to quiet title. Which common law doctrine would be most applicable in the court's determination of the ownership of the property?",C,B
clinical_knowledge/test/76,What three factors regulate stroke volume?,B,B
high_school_microeconomics/test/161,Which of the following is true?,D,A
moral_disputes/test/314, A central premise of Wellman's argument is that the state's right to freedom of association implies a right to _____ prospective members:,A,D
logical_fallacies/test/136,Which of the following best describes the fallacy of self-evident truths?,C,C
high_school_world_history/test/127,"This question refers to the following information.
Is it not unity alone that can weld us into an effective force, capable of creating our own progress and making our valuable contribution to world peace? Which independent African state will claim that its financial structure and banking institutions are fully harnessed to its national development? Which will claim that its material resources and human energies are available for its own national aspirations? We are fast learning that political independence is not enough to rid us of the consequences of colonial rule. We have been too busy nursing our separate states to understand fully the basic need for union, rooted in common purpose, common planning and common endeavour.
Ghana's president, Kwame Nkrumah, addressing the Organization of African Unity, 1963
Which of the following factors was most important in preventing the fulfillment of the political dreams described in the passage?",A,C
professional_law/test/892,"The board of a state university has adopted the following rule concerning residency requirements:""A student will be considered a legal resident of the state for the purpose of registering at the university if such person is over the age of 21 and has established a legal residence in the state for at least one year next preceding the last day of registration for credit. ""A student moved to the state and immediately enrolled at the state university. Since he did not fulfill the university residency requirement, the student was required to pay $1,800 tuition each semester, which was $400 more than the tuition of state resident-students. In an action by the student challenging the constitutionality of the provision governing the determination of residency for the purpose of fixing a fee differential for out-of-state students in public college, the court will most likely declare the provision",D,B
high_school_psychology/test/84,The medical model of psychologically disordered behavior is most likely to be criticized for neglecting the importance of,D,D
high_school_european_history/test/145,"This question refers to the following information.
From this moment until that in which the enemy shall have been driven from the soil of the Republic, all Frenchmen are in permanent requisition for the service of the armies. The young men shall go to battle; the married men shall forge arms and transport provisions; the women shall make tents and clothing and shall serve in the hospitals; the children shall turn old linen into lint; the aged shall betake themselves to the public places in order to arouse the courage of the warriors and preach the hatred of kings and the unity of the Republic. …
The Committee of Public Safety is charged to take all necessary measures to set up without delay an extraordinary manufacture of arms of every sort which corresponds with the ardor and energy of the French people. It is, accordingly, authorized to form all the establishments, factories, workshops, and mills which shall be deemed necessary for the carrying on of these works, as well as to put in requisition, within the entire extent of the Republic, the artists and workingmen who can contribute to their success.
The representatives of the people sent out for the execution of the present law shall have the same authority in their respective districts, acting in concert with the Committee of Public Safety; they are invested with the unlimited powers assigned to the representatives of the people to the armies.
The Levée en Masse, August 23, 1793
The passage can be used as one example of the way in which the Committee of Public Safety",B,B
high_school_microeconomics/test/172,"Land, labor, capital and entrepreneurial talent are often referred to as",D,D
professional_accounting/test/69,"As of December 1, year 2, a company obtained a $1,000,000 line of credit maturing in one year on which it has drawn $250,000, a $750,000 secured note due in five annual installments, and a $300,000 three-year balloon note. The company has no other liabilities. How should the company’s debt be presented in its classified balance sheet on December 31, year 2 if no debt repayments were made in December?",C,A
security_studies/test/240,In what ways can a distinction be made between limited force and full-scale force?,D,C
high_school_biology/test/63,This biome contains plants whose roots cannot go deep due to the presence of a permafrost.,C,B
jurisprudence/test/38,The body of law which establishes rights between persons and provides for redress for violation of those rights is known as:,B,B
