id,question_de,original_answer,model_answer
professional_medicine/test/222,"Eine 26-jährige Frau mit einer HIV-Injektion besucht die Praxis, weil sie seit 4 Tagen unter Schmerzen und einer Rötung des linken Unterschenkels leidet. Sie sagt, die Symptome begannen, als sie in ihrem Garten über einen Ast stolperte und sich am linken Bein eine Schramme zuzog. Sie nimmt aktuell ein antiretrovirales Medikament und bei Bedarf Ibuprofen ein. Ihre Vitalparameter sind: Temperatur 38,3°C, Puls 86 Schläge/min, Atemfrequenz 14/min und Blutdruck 138/70 mmHg. Ein 5x8-cm großer Bereich an der Vorderseite des linken Unterschenkels ist geschwollen, gerötet und druckempfindlich. In der Vergangenheit litt sie nach der Einnahme von Erythromycin unter Hautausschlag und hatte nach der Einnahme von Penicillin eine anaphylaktische Reaktion. Welches Antibiotikum sollte dieser Patientin verschrieben werden?",D,C
professional_psychology/test/406,Welche beiden Formen von Macht werden in Analysen der sozialen Macht in therapeutischen Beziehungen als besonders bedeutsam hervorgehoben?,B,B
college_medicine/test/11,"Eine beschriebene Menge von 2-Brombutan wird in eine starke Ethanollösung gegeben und die Reaktionszeit wird abgewartet. Das Ergebnis dieser Reaktion ist als Hauptprodukt 2-Buten und als Nebenprodukt 1-Buten. Welche der folgenden Beschreibungen der Ausgangsverbindung erklärt, warum 2-Buten das Hauptprodukt ist?",A,C
human_aging/test/128,"In diesem Kapitel von „Senior View“ sagte uns May Lee, dass wir alle unsere älteren Mitmenschen respektieren sollten, weil",B,B
professional_law/test/875,"Eine Stadtbewohnerin pendelte jeden Tag mit der U-Bahn zur Arbeit. Nachdem sie ihre Fahrkarte gekauft hatte, stieg sie in die U-Bahn ein, um in die Innenstadt zu ihrer Arbeitsstelle zu fahren. Auf der Suche nach einem Sitzplatz ging die Bewohnerin in Richtung des hinteren Teils des Wagens, als dieser abrupt zum Stehen kam. Infolge des plötzlichen Halts stürzte die Bewohnerin auf einen Pendler und verletzte ihn. Wenn der Pendler einen Anspruch gegen die U-Bahn-Gesellschaft geltend macht, um für seine Verletzungen entschädigt zu werden, wird der Pendler wahrscheinlich",C,C
nutrition/test/113,Welche Ernährungsstrategie verbessert die Leistung bei längeren Ausdauersportarten nicht?,C,B
moral_scenarios/test/156,"Bei welchem der beiden Szenarien handelt der Hauptcharakter (der „Ich“ / „mich“ / „mein“ verwendet) gemäß den Moralstandards der USA in 2020 auf eindeutig moralisch verwerfliche Art? Szenario 1 | Mir war langweilig, da grub ich ein Loch in meinem Hinterhof, um einen Keller zu bauen. Szenario 2 | Meine Arbeitszeit begann in Kürze, als ging ich zu einem Baseballspiel.",C,B
professional_law/test/330,"Der einzelstaatlichen Legislative wurde ein Gesetzesentwurf vorgelegt, der eine Neuorganisation der Polizei des Bundesstaates vorsah. Der Gesetzesentwurf löste sowohl innerhalb als auch außerhalb der einzelstaatlichen Regierung heftige Kontroversen aus. Mehrere führende Vertreter der Minderheitspartei in der Legislative beschlossen, sich dem Gesetz zu widersetzen. Ein Mitglied der Minderheitspartei war mit der ablehnenden Haltung seiner Partei nicht einverstanden und kündigte öffentlich seine Unterstützung für den Gesetzesentwurf an. Die Führer der Minderheitspartei beriefen eine Sitzung ein, um ihre legislative Strategie für die Debatte über den Gesetzesentwurf zu erörtern und festzulegen. Als das widersprechende Mitglied an der Tür des Sitzungsraums erschien, wurde ihm der Zutritt wegen seiner parteifeindlichen Haltung verweigert. Außerdem wurde ihm mitgeteilt, dass er von allen seinen Ausschussaufgaben entbunden würde. Während der Fraktionssitzung erörterten die Parteimitglieder andere Mittel, um das Mitglied für seinen Ungehorsam gegenüber der Partei zu bestrafen. Es wurde vorgeschlagen, eine Pressemitteilung herauszugeben, in der die Partei ihn öffentlich für sein Verhalten bestrafen würde. Der Parteivorsitzende sagte, dass „das Mitglied ein missgünstiger Politiker ist, der nur darauf achtet, woher er den nächsten Dollar bekommt“. Welche der folgenden verfassungsrechtlichen Bestimmungen wäre für das ausgeschlossene Mitglied der beste Grund, seinen Ausschluss aus dem Parteikreis anzufechten?",D,C
nutrition/test/93,Was versteht man in der Epidemiologie unter Risikopopulation?,B,D
sociology/test/82,Welche der folgenden Aussagen deckt sich mit den Ergebnissen der aktuellen Forschung im Bereich Geschlechterrollen und Arbeitsplatz?,D,D
high_school_statistics/test/148,"Eine Leseexpertin in einem großen öffentlichen Schulsystem ist der Meinung, dass die Schüler umso besser in der Schule abschneiden, je mehr Zeit diese mit Lesen verbringen. Sie plant ein Experiment an einer Mittelschule, bei dem einer Gruppe von 30 Achtklässler/innen vier zusätzliche Lesestunden pro Woche zugewiesen werden, einer Gruppe von 30 Siebtklässler/innen werden zwei zusätzliche Lesestunden pro Woche zugewiesen, und einer Gruppe von 30 Sechstklässler/innen, denen keine zusätzliche Lektüre zugewiesen wird, bildet eine Kontrollgruppe. Nach einem Schuljahr werden die Notendurchschnitte beider Gruppen verglichen. Ist dies ein guter experimenteller Ansatz?",D,B
marketing/test/7,"Ein Ungleichgewicht zwischen dem tatsächlichen und dem gewünschten Zustand eines Verbrauchers, bei dem erkannt wird, dass eine Lücke oder ein Problem gelöst werden muss:",A,A
security_studies/test/11,Welche der folgenden Optionen beschreibt am besten den „Orient“ laut Edward Said?,A,A
professional_law/test/817,"Zwei Autos fuhren innerhalb der zulässigen Höchstgeschwindigkeit, als sie sich einer Kreuzung näherten. An dieser Kreuzung gibt es keine Ampeln, Stoppschilder oder Warnhinweise. Beide Fahrzeuge fuhren gleichzeitig in die Kreuzung ein und stießen zusammen. Bei dem Unfall erlitt einer der Fahrer einen Beckenbruch und innere Verletzungen. Obwohl der Lkw des anderen Fahrers leicht beschädigt wurde, erlitt er keine körperlichen Verletzungen. Daraufhin verklagte die verletzte Fahrerin die Stadt wegen Fahrlässigkeit und behauptete, die Stadt habe es versäumt, an der Kreuzung, die ihrer Ansicht nach besonders gefährlich und stark befahren war, ausreichend zu warnen. In der Verhandlung legte der Anwalt der Stadt Beweise dafür vor, dass die Kreuzung seit 14 Jahren unverändert ist und sich in dieser Zeit keine weiteren Unfälle ereignet haben. Auf den Einwand des Anwalts der geschädigten Fahrerin hin sollte dieser Beweis",A,C
professional_law/test/583,"Ein Arzt war Eigentümer von 1.500 Acres unbebautem Waldland. Im September 1989 unterzeichnete der Arzt eine Grundstückübertragungsurkunde, mit der er das Waldgrundstück an einen Zahnarzt als unbeschränktes Eigentum übertrug. Der Zahnarzt trug die Urkunde sofort in das Verzeichnis der Anspruchsberechtigten (Grantor Grantee Index) ein. Im April 1990 übertrug der Zahnarzt dasselbe Grundstück durch eine Grundstücksübertragungsurkunde an einen Käufer als unbeschränktes Eigentum. Der Käufer zahlte den vollen Marktwert und trug die Urkunde sofort in das Verzeichnis der Anspruchsberechtigten (Grantor Grantee Index) ein. Das fragliche Grundstück war nie bewohnt, eingezäunt oder gerodet worden, außer dass zwischen 1986 und 2010 ein Bergbauunternehmen, das eine Meile vom Grundstück entfernt war, regelmäßig Lastwagen über einen gerodeten Weg fuhr, und zwar gemäß einer Vereinbarung mit dem Arzt von 1986. Die Vereinbarung, die ordnungsgemäß protokolliert wurde, sah vor, dass „die Parteien ausdrücklich vereinbaren und der Arzt verspricht, dass der Arzt und seine Nachfolger es unterlassen werden, den beschriebenen Weg über das Land des Arztes zu behindern, den das Bergbauunternehmen und seine Nachfolger dauerhaft als Straße nutzen können, wofür das Bergbauunternehmen und seine Nachfolger jährlich 700 USD zahlen werden.“ 1990, nach der Übertragung durch den Zahnarzt, teilte der Käufer der Bergbaugesellschaft mit, dass er die Vereinbarung von 1986, die der Bergbaugesellschaft die Nutzung des Weges gestattete, nicht mehr einhalten werde. Das Bergbauunternehmen erhob daraufhin eine Klage auf Erfüllung des Vertrages. Das Urteil sollte",A,B
miscellaneous/test/250,Wer ist ein Erzfeind des Cartoon-Superhelden Underdog,A,A
high_school_psychology/test/425,Die Fallstudie von der Hirnverletzung von Phineas Gage war aus welchem der folgenden Gründe signifikant?,B,B
professional_law/test/630,"Ein 15-jähriger Junge wurde bei einer Bandenschlägerei getötet. Zwei Tage nach seiner Beerdigung sah die Mutter des Jungen eine Fernsehsendung über Bandengewalt und war schockiert, als sie ein Video sah, in dem sie über der Leiche des Jungen weinte. Das Video war von dem Fernsehteam aufgenommen worden, während die Leiche des Jungen noch auf einer öffentlichen Straße lag. Die Mutter erlitt durch den Anblick des Videos schwere seelische Schäden. Wenn die Mutter den Fernsehsender wegen Verletzung ihrer Privatsphäre und der ihres Sohnes verklagt, hat sie dann Aussicht auf Erfolg?",B,C
moral_disputes/test/14,Welcher der folgenden Punkte ist ein Beispiel für eine wertbasierte Moraltheorie?,C,B
miscellaneous/test/232,In welcher in welchem Jahrzehnt wurde Israel ein unabhängiger Staat?,B,B
philosophy/test/270,"Mill behauptet, ein glückliches Leben sei eines voller:",C,C
high_school_statistics/test/115,"In der Geschworenenliste dieser Woche sind 30 Prozent der potenziellen Geschworenen Frauen. Ein bestimmter Prozess erfordert es, dass in einer Gruppe von 12 Geschworenen mindestens drei Frauen sind. Wenn eine Gruppe aus 12 Geschworenen zufällig aus der Liste ausgewählt wird, wie hoch ist die Wahrscheinlichkeit, dass dies die Anforderungen dieses Prozesses erfüllt?",D,A
high_school_macroeconomics/test/67,"Was geschieht auf dem Geldmarkt, wenn die Geldmenge steigt (unter der Annahme, dass die Geldnachfrage abwärts gerichtet ist)?",B,D
machine_learning/test/57,Aussage 1| L2-Regularisierung von linearen Modellen macht die Modelle tendenziell spärlicher als L1-Regularisierung. Aussage 2| Residuale Verbindungen können in ResNets und Transformern ermittelt werden.,D,B
sociology/test/37,Der Begriff „sekundäre Abweichung“ bezieht sich auf:,D,B
moral_scenarios/test/850,"Bei welchem der beiden Szenarien handelt der Hauptcharakter (der „Ich“ / „mich“ / „mein“ verwendet) gemäß den Moralstandards der USA in 2020 auf eindeutig moralisch verwerfliche Art? Szenario 1 | Ich versuchte, Fentanyl in die Limonade zu geben. Szenario 2 | Als mir mein Sohn sagte, dass er schwul sei, lehnte ich ihn ab.",A,A
philosophy/test/18,Was dachte Clarence Darrow über den Sinn des Lebens?,A,B
high_school_european_history/test/38,"Diese Frage bezieht sich auf die folgenden Informationen:
Lesen Sie den folgenden Auszug:
Niemals wurden Talente mit der höchsten Genialität von der erhabensten Art; niemals wurde ein menschliches Wesen reicher beschenkt. Die Genialität von Napoleon ist erstaunlich. Sein gewaltiger Verstand schien sich mit allen Zweigen des menschlichen Wissen gleichermaßen auszukennen. Seine Gespräche auf St. Helena, die auf die zahlreichen und umfangreichen Gedenkstätten derjenigen, die sie gesammelt haben, verstreut sind, sind voll des intensivsten Interesses. Während der langen Qual seiner Inhaftierung und seines Todes hat er vollkommen frei über die Ereignisse seiner erstaunlichen Karriere und all diese Themen oder die Moral, Politik und Religion gesprochen, die für das Wohlergehen unserer Rasse von größtem Interesse sind. Es gibt keinen Verstand, der nicht durch die Vertrautheit mit diesen tiefgründigen Gedanken belebt wird, die mit so viel Glühen des Gefühls und Energie der Diktion ausgedrückt werden.
—John S. C. Abbott, Historiker, Napoleon auf St. Helena, 1855
Von welchem der folgenden Merkmale des französischen Reichs unter Napoleon scheint Abbott am meisten beeindruckt zu sein?",B,A
college_medicine/test/146,Der ATP-Speicher in den Muskeln kann bei hochintensiven Übungen nur für folgende Zeiträume Energie liefern:,B,B
professional_psychology/test/151,"Sozialer Einfluss macht sich bemerkbar, wenn Einstellungen, Gedanken, Gefühle oder Verhaltensweisen einer Person durch die Überzeugungskraft anderer Personen verändert werden. Es gibt viele verschiedene Reaktionen darauf. Welche Art von sozialem Einfluss ist als Milgram-Effekt bekannt?",B,A
moral_scenarios/test/588,"Bei welchem der beiden Szenarien handelt der Hauptcharakter (der „Ich“ / „mich“ / „mein“ verwendet) gemäß den Moralstandards der USA in 2020 auf eindeutig moralisch verwerfliche Art? Szenario 1 | Nachdem ich gehört hatte, dass ihr Sohn gefangen genommen worden war, sagte ich ihr, sie solle sich keine Sorgen machen, da die Behörden unterwegs seien und die Angelegenheit klären würden. Szenario 2 | Ich gab scharfe Soße in das Abendessen meines Freundes.",D,B
college_computer_science/test/87,"Ein Programm zur Rechtschreibprüfung funktioniert folgendermaßen. Es wurde eine Hash-Tabelle definiert, in der jeder Eintrag eine boolesche Variable ist, die auf falsch initialisiert ist. Auf jedes Wort im Wörterbuch wurde eine Hash-Funktion angewendet und der entsprechende Eintrag in der Hash-Tabelle auf wahr gesetzt. Um die Rechtschreibung in einem Dokument zu überprüfen, wird die Hash-Funktion auf jedes Wort im Dokument angewandt und der entsprechende Eintrag in der Hash-Tabelle untersucht. Welche der folgenden Aussagen ist (sind) wahr?
I. wahr bedeutet, dass das Wort im Wörterbuch vorhanden war.
II. falsch bedeutet, dass das Wort nicht im Wörterbuch vorhanden war.
III. Die Größe der Hash-Tabelle sollte mit der Größe des Dokuments zunehmen.",B,A
conceptual_physics/test/19,Polarisation ist eine Eigenschaft von,A,C
high_school_us_history/test/48,"Diese Frage bezieht sich auf die folgenden Informationen:
„Die eine Hälfte der Menschen dieser Nation ist heute vollkommen machtlos, und kann ein ungerechtes Gesetz nicht aus den Gesetzbüchern löschen oder dort ein neues und gerechtes Gesetz hineinschreiben. Die Frauen sind unzufrieden mit dieser Form der Regierung, die ihnen eine Besteuerung aufzwingt, ohne dass sie eine Vertretung haben; die sie zwingt, Gesetze zu befolgen, zu denen sie nie ihr Einverständnis gegeben haben; die sie ins Gefängnis wirft und hängt ohne ein Gerichtsverfahren mit Geschworenen aus ihnen Gleichgestellten; die sie bei einer Heirat der Verfügungsgewalt über ihre eigene Person, ihrer Einkünfte und ihrer Kinder beraubt;—diese Hälfte des Volkes ist vollständig der Gnade der anderen Hälfte ausgesetzt, und dass verstößt direkt gegen den Geist und den Wortlaut der Erklärungen der Gestalter dieser Regierung, von der jede auf Grundlage des unveränderlichen Prinzips der gleichen Rechte für alle entstanden ist.“
—Susan B. Anthony, ""Ich stehe vor Ihnen und klage an"" (Rede), 1873
Welches der folgenden Gesetze war NICHT bestimmt, die Regierung zu ermächtigen, den wachsenden Reichtum und die Macht der Industriellen im späten neunzehnten und im frühen zwanzigsten Jahrhundert zu regulieren?",D,A
prehistory/test/202,Was implizieren Objekte zum Schmücken der eigenen Person während des Jungpaläolithikums laut Randall White?,C,C
public_relations/test/8,In welchem Stadium des Planungsprozesses werden die Ziele festgelegt?,B,A
professional_law/test/208,"Ein Bundesgesetz dehnt die bundesstaatlichen Mindestlohnvorschriften auf alle chemischen Reinigungsbetriebe aus. Das Gesetz enthält ausdrückliche Erkenntnisse darüber, dass die Löhne der Beschäftigten in der chemischen Reinigung zusammengenommen einen erheblichen Einfluss auf die nationale Wirtschaft und den Fluss von Waren und Dienstleistungen im zwischenstaatlichen Handel haben. Diese Erkenntnisse werden durch Informationen gestützt, die dem Kongress während der Anhörungen des Ausschusses zu dem Gesetz vorgelegt wurden. Eine kleine chemische Reinigung ist ausschließlich in einer Gemeinde im Zentrum eines geografisch großen Staates tätig. Sie hat keine Kunden von außerhalb des Staates. Sie beschäftigt drei Arbeitnehmer, von denen jeder weniger als den staatlichen Mindestlohn erhält. Muss diese chemische Reinigung das Gesetz einhalten, das allen chemischen Reinigungsbetrieben den bundesweiten Mindestlohn vorschreibt?",D,A
world_religions/test/60,Welche Göttin wird während des Divali-Festes verehrt?,B,A
high_school_macroeconomics/test/201,Welches der Folgenden ist ein vorhersehbarer Vorteil einer expansiven Geldpolitik in einer Rezession?,B,B
global_facts/test/64,"Bedenken Sie die folgenden Aussagen: (1) In jedem Land denken die Menschen, dass andere Menschen in ihrem Land weniger glücklich sind, als sie es tatsächlich sind. (2) In den Vereinigten Staaten ist das Glück der Frauen sowohl absolut als auch relativ zu den Männern gestiegen. Welche dieser Aussagen ist richtig/falsch?",B,B
professional_psychology/test/575,Was ist eines der Hauptmerkmale bei der Differenzialdiagnostik zwischen Bulimia nervosa und Anorexia nervosa?,B,B
moral_scenarios/test/768,"Bei welchem der beiden Szenarien handelt der Hauptcharakter (der „Ich“ / „mich“ / „mein“ verwendet) gemäß den Moralstandards der USA in 2020 auf eindeutig moralisch verwerfliche Art? Szenario 1 | Ich ging zum Bauernhof, um die Hühner zu sehen. Szenario 2 | Ich zeigte meinen Kindern Zeichentrickfilme.",D,B
human_sexuality/test/117,"Sie wurden gebeten, eine Stellungnahme zu LeVays Forschungsarbeit über die Unterschiede im Gehirn von Heterosexuellen und Homosexuellen zu verfassen. Was sind plausible Kritikpunkte an LeVays Arbeit?",D,D
elementary_mathematics/test/302,"Der Preis für eine Aktie des Unternehmens XYZ betrug zu Beginn der Woche 24,75 $. In den folgenden fünf Tagen gewann die Aktie am Montag 2,50 $, verlor am Dienstag 3,25 $, verlor am Mittwoch 0,75 $, gewann am Donnerstag 1,25 $ und gewann am Freitag 4,75 $. Wie hoch war der Kurs der Aktie am Ende des Freitags?",C,C
moral_scenarios/test/457,"Bei welchem der beiden Szenarien handelt der Hauptcharakter (der „Ich“ / „mich“ / „mein“ verwendet) gemäß den Moralstandards der USA in 2020 auf eindeutig moralisch verwerfliche Art? Szenario 1 | Es gab nirgendwo eine Toilette, daher frage ich den Wachmann nach einer öffentlichen. Szenario 2 | Ich gab scharfe Soße in den Geburtstagskuchen meines Freundes.",C,B
professional_law/test/174,"Eine Frau, die glaubte, schwanger zu sein, suchte einen Arzt, einen zugelassenen Gynäkologen, auf, weil sie einen Schwangerschaftsabbruch vornehmen lassen wollte. Der Arzt untersuchte sie und stellte fest, dass sie nicht schwanger war, beschloss aber, ihr zu sagen, dass sie es war, um sein Honorar von 500 Dollar zu verdienen. Nachdem er die 500 Dollar erhalten hatte, wies der Arzt die Frau in ein Krankenhaus ein und teilte den Krankenhausbehörden fälschlicherweise mit, dass sie einen gutartigen Tumor an der Gebärmutter habe, den er entfernen wolle. Er führte alle für einen Schwangerschaftsabbruch erforderlichen chirurgischen Eingriffe unter angemessenen hygienischen Bedingungen durch, doch die Frau begann zu bluten und starb. Der Arzt sollte für schuldig befunden werden wegen",B,B
philosophy/test/40,Mill definiert „Nutzen“ als:,C,B
high_school_physics/test/122,"Ein Mann steht in einem Aufzug, als dieser sich nach oben zu bewegen beginnt. Wirkt die Normalkraft aus dem Boden auf den Mann ein?",A,A
high_school_psychology/test/136,"Die Fähigkeit eines Musikers oder einer Musikerin, zwei sehr ähnliche Tonhöhen unterscheiden zu können, hängt von welchem der folgenden Konzepte ab?",D,D
high_school_macroeconomics/test/69,"Der Steuermultiplikator nimmt zu, wenn",C,A
marketing/test/50,"Welche der folgenden Strategien ist am besten geeignet, wenn Sie ein neues und einzigartiges Produkt auf den Markt bringen?",A,A
business_ethics/test/89,"_________ sind individuelle Überzeugungen über wünschenswerte Verhaltensweisen und Ziele, die im Laufe der Zeit stabil sind und die Entscheidungsfindung beeinflussen.",B,B
high_school_statistics/test/190,"Um die durchschnittliche Anzahl an Kindern zu bestimmen, die in Einfamilienhaushalten leben, wählt ein Forschender eine einfache Zufallsstichprobe von 50 solcher Haushalte aus. Jedoch ist der Interviewer nach einem Nachverfolgungsbesuch nicht in der Lage, in 8 dieser Haushalte mit irgendjemandem Kontakt aufzunehmen. Da er sich Sorgen über den Nichtantwort-Bias macht, wählt der Forschende eine weitere einfache Zufallsstichprobe aus und weist den Interviewer an, es so lange zu versuchen, bis es gelingt, zu irgendjemandem in insgesamt 50 Haushalten Kontakt herzustellen. Die durchschnittliche Anzahl der Kinder wird mit 1,73 bestimmt. Ist diese Schätzung wahrscheinlich zu niedrig oder zu hoch?",C,A
high_school_biology/test/47,"Welche Aussage beschreibt am besten, warum Menschen Stärke, aber nicht Zellulose verdauen können, obwohl beide Moleküle aus Glukose-Monomeren bestehen?",A,A
elementary_mathematics/test/101,Bestimme eine Lösung für die Gleichung 5 • x – 5 = -10 anhand der gegebenen Zahlen.,A,D
logical_fallacies/test/89,Die Anwendung irrelevanter Standards auf den Gegenstand des Arguments ist folgender Trugschluss,C,C
college_physics/test/44,"Blaues Licht mit einer Wellenlänge von 480 Nanometern wird von einem dünnen Ölfilm auf einem Objektträger am stärksten reflektiert, wenn man ihn bei senkrechtem Einfall betrachtet. Unter der Annahme, dass der Brechungsindex des Öls 1,2 und der des Glases 1,6 ist, was ist die minimale Dicke des Ölfilms (abgesehen von Null)?",B,A
professional_law/test/1142,"Eine Industriestadt mit 100.000 Einwohnern befindet sich auf der Nordseite eines Flusses. Auf der Südseite des Flusses befindet sich eine ländliche Gemeinde mit 40.000 Einwohnern. Seit vielen Jahren drängen verschiedene Bürgerinitiativen darauf, dass beide Gemeinden zu einer Stadt mit einer einzigen Verwaltung fusionieren. Unabhängige Studien haben gezeigt, dass ein solcher Zusammenschluss zu enormen Steuereinsparungen für die Einwohner beider Gemeinden führen würde, da die doppelte Erbringung von Dienstleistungen entfiele. Bei einer früheren Gelegenheit gelang es den Befürwortern des Fusionsplans, den Vorschlag als Wahlreferendum in jeder Gemeinde durchzusetzen. Obwohl das Fusionsreferendum in der Industriestadt mit großer Mehrheit angenommen wurde, lehnten die Wähler der ländlichen Gemeinde die Maßnahme ab, da sie befürchteten, dass die gemeinsame Verwaltung von der größeren Vertretung des Nachbarn dominiert und kontrolliert werden würde. Um die Bedenken der Wähler der ländlichen Gemeinde hinsichtlich einer Unterrepräsentation in einem fusionierten Regierungssystem zu zerstreuen, setzten die jeweiligen Stadträte beider Gemeinden einen Lenkungsausschuss ein, der einen neuen Vorschlag ausarbeiten sollte. Dementsprechend erarbeitete der Lenkungsausschuss ein Fusionsmodell, bei dem der Stadtrat der vereinigten Stadt aus acht Mitgliedern bestehen würde. Im Rahmen des vorgeschlagenen neuen Regierungssystems würde jede ehemalige Gemeinde in vier Bezirke unterteilt werden. In der Industriestadt würde jeder Bezirk 25.000 Einwohner umfassen und jeweils ein gewähltes Stadtratsmitglied haben. Ebenso würde die ländliche Gemeinde in vier Wahlbezirke mit jeweils 10.000 Einwohnern unterteilt werden. Aus jedem dieser Bezirke würde ebenfalls ein Stadtratsmitglied gewählt werden. Der Bürgermeister würde von allen Einwohnern der neu geschaffenen acht Bezirke in einer Volksabstimmung gewählt werden. Bevor dieser Fusionsvorschlag auf den Stimmzettel gesetzt wurde, gab die Generalstaatsanwältin eine beratende Stellungnahme ab, in der sie feststellte, dass die Maßnahme ihrer Meinung nach nicht gegen gesetzliche oder verfassungsrechtliche Bestimmungen verstößt. Daraufhin wurde der Vorschlag auf den Stimmzettel gesetzt und von den Wählern in beiden Gemeinden mit überwältigender Mehrheit angenommen. Nach der Wahl, aber noch bevor der Zusammenschluss offiziell vollzogen war, erhoben zwei Steuerzahler aus der Industriestadt Klage gegen die Vereinigung, wobei sie die Verfassungsmäßigkeit der unverhältnismäßig großen repräsentativen Bezirke angriffen. Welches der folgenden Argumente ist das stärkste verfassungsrechtliche Argument der Kläger zur Unterstützung ihrer Klage?",A,C
logical_fallacies/test/51,Welche der folgenden Aussagen beschreibt den Trugschluss des Appells an die Popularität?,B,C
medical_genetics/test/87,"Mutationen, die Achondroplasie verursachen, haben eine Wirkung, die als solche klassifiziert werden kann:",B,C
high_school_microeconomics/test/3,"Man sagt Ihnen, dass die Kreuzpreiselastizität zwischen den Waren X und Y +2,0 beträgt. Das bedeutet Folgendes:",D,C
professional_medicine/test/263,"Ein 15-jähriger Junge wird von seiner Mutter in die Praxis gebracht, weil er seit 3 Monaten sehr müde und gereizt ist. Er ist in der 10. Klasse und im Leichtathletikteam. Er gibt an, dass seine Symptome kurz nach Beginn der Trainingssaison im Frühjahr begannen. Er trainiert fünfmal die Woche Sprints und läuft mehrere Kilometer mehrmals in der Woche und trainiert seine Beine mit Gewichten. Er gibt zu, dass er müde ist und sagt, dass sein Training intensiver geworden ist und dass er sich darum sorgt, nicht gut genug zu sein, um weiter mit seinem Team trainieren zu können. Seine Essgewohnheiten haben sich nicht geändert. Die Vorgeschichte ist unauffällig und er nimmt keine Medikamente. Sie kennen den Patienten seit 3 Jahren. Er erscheint verstimmter zu sein als bei anderen Besuchen. Sie bitten seine Mutter, das Behandlungszimmer für die körperliche Untersuchung zu verlassen. Nachdem die Mutter das Zimmer verlassen hat, gibt er zu, dass er sich um einige Knoten in seinem Lendenbereich sorgen. Nach welchen Dingen sollten Sie den Patienten jetzt fragen?",D,A
college_chemistry/test/79,Welche der folgenden Substanzen wird als konjugiertes Säure-Basen-Paar eingestuft?,B,A
us_foreign_policy/test/63,"Welcher Faktor muss laut Meinung von Rosenau unbedingt berücksichtigt werden, um das außenpolitische Verhalten der USA zu erklären?",D,B
jurisprudence/test/49,"Was meint Dworkin, wenn er von einem semantischen Trick spricht?",D,B
professional_psychology/test/259,"Wenn Sie mit einem Kollegen über eine „festgefahrene Situation“ sprechen, in der Sie mit einem Klienten in der Therapie stecken …",D,C
college_medicine/test/64,"Wenn die durchschnittliche Sauerstoffverbrauchsrate eines männlichen Sportlers während einer Trainingseinheit 2 l/Min beträgt, dann liegt sein Energieverbrauch bei etwa:",D,A
professional_medicine/test/261,"Ein 25-jähriger Mann wird in die Notaufnahme gebracht, nachdem er halb bewusstlos und inkphärent zuhause angefunden wurde. Als er in der Notaufnahme ankommt, ist er stumpfsinnig. Sein Blutdruck liegt bei 105/70 mmHg, der Puls beträgt 80 Schläge/min und die Atemfrequenz liegt bei 12/min. Bei der Untersuchung erscheint die Haut kalt und feucht. Es werden Nadelpupillen und eine langsame Reaktion auf Licht bemerkt. Welche Substanz hat er wahrscheinlich zu sich genommen?",D,B
us_foreign_policy/test/9,In der US-amerikanischen Regierung verbleibt die Befugnis zur Kriegserklärung,D,A
moral_disputes/test/100,Welches der Folgenden ist ein Beispiel für ein charakterliches Laster?,D,A
professional_law/test/534,"Am 1. September schickte ein Hersteller von tragbaren Trinkbrunnen einem Einzelhändler für Trinkbrunnen ein unterschriebenes Angebot, in dem es hieß: „Habe 200 Trinkbrunnen zu je 100 USD für die Lieferung im Oktober verfügbar. Bitte beachten Sie, dass dieses Angebot bis zum 1. Oktober gültig ist.“ Am 30. September schickte der Einzelhändler das folgende Schreiben, das am 1. Oktober beim Hersteller einging: „Ihr Angebot wird hiermit angenommen, aber wir bitten um Lieferung von 100 Trinkbrunnen im Oktober und 100 im November.“ Am 29. September schickte der Hersteller dem Einzelhändler jedoch ein Fax, in dem er sein Angebot widerrief, das am selben Tag einging. Dieser Widerruf ist",D,A
nutrition/test/1,"Unter welchem der folgenden Umstände steigt die Prävalenz einer Erkrankung in der Bevölkerung, wenn alle anderen Faktoren konstant bleiben?",B,D
professional_accounting/test/34,"Long war ein Einkäufer für den Einzelunternehmer Frost. Long war ausdrücklich dazu bevollmächtigt, bei Frosts Lieferanten Bestellungen aufzugeben. Long ging seiner Geschäftstätigkeit im Internet nach und hatte nur wenig Kontakt mit Frost. Nachdem Frost in einem Gerichtsverfahren für geschäftsunfähig erklärt worden war, gab Long im Namen von Frost eine Bestellung bei der Grant GmbH auf. Weder Long noch Grant wussten von Frosts Geschäftsunfähigkeit. Kann Frost oder Frosts gesetzlicher Vertreter von Grant haftbar gemacht werden?",D,A
international_law/test/19,Welche der folgenden Aussagen ist falsch?,D,A
college_biology/test/42,Welche der folgenden Möglichkeiten würde die Diffusionsgeschwindigkeit eines Gases zwischen den Alveolen der Lunge und dem Blut in einer Lungenkapillare erhöhen?,C,C
human_sexuality/test/41,An welchem Tag eines typischen 28-tägigen Menstruationszyklus hat eine Frau wahrscheinlich ihren Eisprung?,C,D: 22.0
